algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,1,3800949,16.52105,4.3665776,16.52105,4.3665776,0.05,1.7933789491653442,4.32,0.58,31.98,33.0421,0.0513350033550523,1.9742341,0.4935585071701227,0.4237924020083417,8.733155,0.0017940031151739,99174
idqn,1,3900969,16.578886,4.500082,16.578886,4.500082,0.05,1.797732949256897,4.4,0.6,31.56,33.157772,0.0520827319932868,1.959592,0.4898979485566356,0.6053098380168623,9.000164,0.0012659706161156,102328
idqn,2,100029,9.882354,0.3121529,9.882354,0.3121529,0.7624311250000001,16.598316192626953,2.0,0.0,32.03,19.764708,0.0551086112699704,0.0,0.0,0.1705872210923198,0.6243058,0.002135381135043,2332
idqn,2,200045,9.3050995,2.1988645,9.3050995,2.1988645,0.5248931250000001,26.824440002441406,2.46,0.0,41.44,18.610199,0.0821438011707505,1.6273907,0.0,32.01259752035127,4.397729,0.0735943228340305,4669
idqn,2,300137,6.6070595,3.1440933,6.6070595,3.1440933,0.2871746249999999,33.59495162963867,3.18,0.0,60.56,13.214119,0.1332926554034929,2.1834834,0.0,50.31288502958264,6.2881866,0.1187242915796335,5896
idqn,2,400284,0.09411765,0.93645877,0.09411765,0.93645877,0.05,33.823707580566406,9.37,0.0,149.69,0.1882353,0.3729537179385079,1.1802965,0.0,3.0844610550305216,1.8729175,0.0287320628177259,6632
idqn,2,500332,0.6839216,2.3327262,0.6839216,2.3327262,0.05,32.1962890625,8.86,0.0,142.18,1.3678432,0.3344132228486705,2.0446026,0.0,28.529766911070272,4.6654525,0.0706636482602509,7341
idqn,2,600465,6.8078437,3.2231383,6.8078437,3.2231383,0.05,22.242977142333984,3.23,0.0,61.57,13.615687,0.1312843413167866,2.6565201,0.0,41.43627758377917,6.4462767,0.0965521680533068,8390
idqn,2,700471,8.307452,2.7523866,8.307452,2.7523866,0.05,15.403116226196287,2.74,0.0,55.59,16.614904,0.1147927487350534,1.8418471,0.0,40.03176114037453,5.504773,0.0893924075535615,9495
idqn,2,800472,10.371765,1.161903,10.371765,1.161903,0.05,11.336423873901367,2.73,0.0,59.96,20.74353,0.1214811900327913,1.3917973,0.0,49.210958129262224,2.323806,0.1030912382078561,11709
idqn,2,900506,9.054119,1.0281584,9.054119,1.0281584,0.05,6.884698867797852,4.76,0.0,131.56,18.108238,0.2666838616877794,1.6069847,0.0,41.62699124366305,2.0563169,0.0851156844011774,12710
idqn,2,1000519,9.920001,0.66222095,9.920001,0.66222095,0.05,6.524210453033447,3.81,0.0,100.87,19.840002,0.209750661663129,1.8204122,0.0,57.73485169288997,1.3244419,0.1225888361731093,13598
idqn,2,1100544,10.447058,0.6235171,10.447058,0.6235171,0.05,4.154784679412842,2.36,0.0,50.59,20.894115,0.1015058341773692,0.9541489,0.0,41.76148823976464,1.2470342,0.0855183472263665,14595
idqn,2,1200610,9.7454605,1.7152812,9.7454605,1.7152812,0.05,3.8259706497192383,4.69,0.01,134.0,19.490921,0.2807445879117585,2.1104267,0.0994987437106619,39.23136500301767,3.4305625,0.0836287136100509,15503
idqn,2,1300708,9.218541,1.3294542,9.218541,1.3294542,0.05,3.978905200958252,3.08,0.01,138.54,18.437082,0.2884331400680821,1.963059,0.0994987437106619,22.232147894434316,2.6589084,0.047178174523131,16257
idqn,2,1400789,10.00157,0.826808,10.00157,0.826808,0.05,6.219488620758057,4.57,0.0,123.65,20.00314,0.252527363327099,1.9710655,0.0,47.12671747533452,1.653616,0.0980348680749592,17119
idqn,2,1500839,11.030587,0.9398369,11.030587,0.9398369,0.05,4.651486873626709,2.27,0.0,97.32,22.061174,0.196442962490255,1.0849422,0.0,50.46798589204843,1.8796738,0.1035193440831774,18460
idqn,2,1600861,10.47843,0.64294595,10.47843,0.64294595,0.05,2.4951934814453125,2.07,0.0,55.77,20.95686,0.1088755771127762,0.69649124,0.0,25.548720124499383,1.2858919,0.0528672664291581,20470
idqn,2,1700892,10.955293,0.55712557,10.955293,0.55712557,0.05,4.125028133392334,2.05,0.0,36.97,21.910585,0.0707571070769336,0.49749374,0.0,17.32365723512215,1.1142511,0.0337086348830086,23076
idqn,2,1800905,10.729412,1.1552597,10.729412,1.1552597,0.05,2.570302963256836,2.0,0.0,33.29,21.458824,0.0644374933186918,0.0,0.0,4.714435279012746,2.3105195,0.0100654892958848,26054
idqn,2,1900917,11.547664,1.5307856,11.547664,1.5307856,0.05,4.883685111999512,2.08,0.02,32.54,23.095327,0.0622439179127104,0.56,0.1399999999999999,3.353863443850987,3.0615711,0.0074101314343084,29096
idqn,2,2000922,11.521283,1.1816436,11.521283,1.1816436,0.05,3.3456838130950928,2.04,0.01,32.06,23.042566,0.0604527408018475,0.39799497,0.0994987437106619,0.2764054992217051,2.3632872,0.0028306509834533,32137
idqn,2,2100932,15.893337,4.325374,15.893337,4.325374,0.05,2.3129093647003174,4.0,0.5,31.57,31.786674,0.0609496712899999,2.0,0.5,0.5874521257089808,8.650748,0.0027919856629233,35248
idqn,2,2200956,16.697111,4.4239945,16.697111,4.4239945,0.05,4.378090858459473,4.44,0.61,31.48,33.394222,0.0605414016242139,1.9509999,0.4877499359302879,0.5912698199637794,8.847989,0.0026343844354357,38407
idqn,2,2300963,11.2425375,2.2327938,11.2425375,2.2327938,0.05,4.9059367179870605,2.16,0.04,32.06,22.485075,0.0621975066204322,0.7838368,0.1959591794226542,0.3954743986657038,4.4655876,0.0038531402679828,41533
idqn,2,2400973,16.680473,4.6565585,16.680473,4.6565585,0.05,4.394899368286133,4.52,0.63,31.39,33.360947,0.0627082442282699,1.9312172,0.4828043081829324,0.5982474404458409,9.313117,0.0059830341406646,44645
idqn,2,2500977,15.598174,4.7782774,15.598174,4.7782774,0.05,6.402523994445801,4.14,0.51,37.67,31.196348,0.0747807545494288,1.9799999,0.4998999899979995,24.876115050385177,9.556555,0.0504934700406496,47771
idqn,2,2601077,15.735202,5.0663257,15.735202,5.0663257,0.05,4.660036563873291,4.48,0.55,40.56,31.470404,0.0799792708194581,2.080769,0.49749371855331,31.34495812726506,10.132651,0.0659727850307515,50517
idqn,2,2701085,15.736558,4.6114535,15.736558,4.6114535,0.05,4.259469985961914,4.09,0.51,34.3,31.473116,0.0688917979429243,2.0104477,0.4998999899979994,17.579249130722282,9.222907,0.0356089198722692,53253
idqn,2,2801113,16.24445,4.515224,16.24445,4.515224,0.05,3.955770969390869,4.24,0.56,32.61,32.4889,0.0644310678628971,1.9855477,0.4963869458396343,11.763413620203956,9.030448,0.0244251231608486,56080
idqn,2,2901134,16.206459,4.4774237,16.206459,4.4774237,0.05,4.186027050018311,4.2,0.55,32.61,32.412918,0.06187397499918,1.9899749,0.49749371855331,11.715711672792226,8.954847,0.0262032725114061,58969
idqn,2,3001135,15.865731,4.8000264,15.865731,4.8000264,0.05,2.762535333633423,4.16,0.54,34.3,31.731462,0.0665605503733968,1.9935896,0.4983974317750844,16.45387492355524,9.600053,0.0330173187593178,61754
idqn,2,3101140,17.16283,4.496419,17.16283,4.496419,0.05,2.6418704986572266,4.72,0.68,31.92,34.32566,0.0615283229312626,1.8659046,0.466476151587624,9.995679066476676,8.992838,0.0224856694973825,64682
idqn,2,3201165,16.90879,4.5344605,16.90879,4.5344605,0.05,2.638225078582764,4.6,0.65,32.8,33.81758,0.0631687592179514,1.9078783,0.4769696007084728,10.406728592598157,9.068921,0.0227320624722877,67724
idqn,2,3301190,17.002352,4.4011335,17.002352,4.4011335,0.05,2.321046829223633,4.6,0.65,31.62,34.004704,0.0603879366599721,1.9078783,0.4769696007084728,5.638758728656511,8.802267,0.0126554627567137,70837
idqn,2,3401217,16.709906,4.40703,16.709906,4.40703,0.05,2.383317232131958,4.44,0.61,31.31,33.41981,0.0604428812203696,1.9509999,0.4877499359302879,0.8682741502543998,8.81406,0.0052027075418715,73970
idqn,2,3501218,16.971527,4.4459124,16.971527,4.4459124,0.05,2.24174427986145,4.6,0.65,31.14,33.943054,0.0580500671366462,1.9078783,0.4769696007084728,0.9167333309092672,8.891825,0.0047019210178706,77158
idqn,2,3601221,17.429022,4.1864643,17.429022,4.1864643,0.05,1.904252886772156,4.76,0.69,31.42,34.858044,0.0593797145533608,1.849973,0.462493243193887,0.5861740355901137,8.372929,0.0025176723103896,80342
idqn,2,3701230,17.092066,4.2732673,17.092066,4.2732673,0.05,1.5968743562698364,4.6,0.65,31.38,34.18413,0.058604632562492,1.9078783,0.4769696007084728,0.5963220606350228,8.546535,0.0052000477218132,83523
idqn,2,3801233,15.683948,4.7949686,15.683948,4.7949686,0.05,1.4118056297302246,4.08,0.52,31.55,31.367895,0.0579271870997035,1.9983994,0.4995998398718718,0.5361902647381803,9.589937,0.0024322000861521,86694
idqn,2,3901236,16.827589,4.553796,16.827589,4.553796,0.05,1.6058937311172483,4.56,0.64,31.6,33.655178,0.0588104287034366,1.9200001,0.48,0.812403840463596,9.107592,0.0028346438774734,89863
