algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,2,3800651,0.5897421,0.22192776,0.36025792,0.19436492,0.05,1.6904929876327517,18.8,0.95,0.0035985668480861,9.3893556754444,0.21794493,0.0018657959966216,118286
idqn,2,3900660,0.44157737,0.16943745,0.53342265,0.16382466,0.05,1.6720328330993652,20.05,0.975,0.0045025730447378,9.810581022549073,0.108972475,0.0031069412724815,123327
idqn,3,100009,0.097500004,0.18946378,0.07309524,0.11646751,0.762478625,1.920499444007873,50.0,0.17059524,0.0088874417939223,0.0,0.18763699,0.0025269280149847,1975
idqn,3,200032,0.075833336,0.120355375,0.09833334,0.140327,0.5249240000000001,1.9195581674575808,50.0,0.17416668,0.0179133479570737,0.0,0.17428227,0.0105336042815285,4019
idqn,3,300045,0.1322619,0.14418526,0.06642857,0.107859775,0.287393125,1.461260199546814,50.0,0.19869049,0.0112603645538911,0.0,0.2052451,0.0040316658483891,6082
idqn,3,400071,0.047500003,0.09906157,0.1388889,0.19230571,0.05,1.5180306434631348,50.0,0.1863889,0.0074162769451504,0.0,0.19787821,0.0014278831930583,8137
idqn,3,500105,0.058333337,0.17697302,0.07470238,0.14304893,0.05,1.2502375841140747,47.4,0.1330357,0.0081124541931785,8.54049178911847,0.30048195,0.0020620980262065,10160
idqn,3,600150,0.07488096,0.11940299,0.12857144,0.22507872,0.05,1.5999947786331177,50.0,0.2034524,0.0101964168046833,0.0,0.25329292,0.0033457590270727,12193
idqn,3,700160,0.11916667,0.20257202,0.14416666,0.19960204,0.05,1.3646013736724854,48.7,0.26333335,0.0101162980048684,4.648655719667784,0.33281627,0.0031606270142322,14244
idqn,3,800176,0.09166667,0.17147237,0.15833333,0.24269897,0.05,0.81805020570755,43.3,0.25,0.0098204228939721,15.96590116466966,0.36124784,0.0045227110402804,16315
idqn,3,900194,0.1111508,0.16807464,0.08527778,0.20071074,0.05,1.302504301071167,46.8,0.19642857,0.0109018688555806,9.785703858180051,0.3178331,0.0031008727257552,18425
idqn,3,1000195,0.058779765,0.094546765,0.097648814,0.14252646,0.05,0.6336002349853516,50.0,0.15642856,0.0105116375983925,0.0,0.18240039,0.002219103218003,20552
idqn,3,1100222,0.17095238,0.28576645,0.10380952,0.17350823,0.05,1.372891187667847,44.35,0.2747619,0.0099528166523668,12.82292868263721,0.37582818,0.0035390526119427,22721
idqn,3,1200227,0.12309524,0.18193169,0.12551588,0.2095404,0.05,1.3118761777877808,44.6,0.24861112,0.0095588791446061,13.429072938963431,0.34666342,0.0045830081865163,24943
idqn,3,1300260,0.1275,0.18158485,0.1204762,0.23871517,0.05,3.099092721939087,45.95,0.24797618,0.0096982959541492,12.151028763030729,0.3141254,0.0031779608567782,27205
idqn,3,1400282,0.17595239,0.24212062,0.24269846,0.299414,0.05,1.920890212059021,44.9,0.4186508,0.0105563207995146,11.228980363327745,0.3917337,0.0033530983922679,29561
idqn,3,1500313,0.18039683,0.19466768,0.17607144,0.24195498,0.05,2.883756637573242,42.35,0.35646826,0.0088053936487995,14.097074164520809,0.39356303,0.0037651224127591,32071
idqn,3,1600318,0.3768254,0.2652248,0.36091268,0.26008168,0.05,3.4947397708892822,34.5,0.7377381,0.0074579394422471,15.9420826744814,0.35250503,0.0040754344094403,34744
idqn,3,1700329,0.32248017,0.25417182,0.30704364,0.25559518,0.05,4.377123355865479,33.6,0.6295238,0.0072965915402164,17.06868477651398,0.42414272,0.0039190629107453,37511
idqn,3,1800332,0.4059524,0.26568753,0.39154762,0.23188381,0.05,3.951721429824829,31.1,0.7975,0.0067759206984192,16.564721549123608,0.29137006,0.0040064209181716,40315
idqn,3,1900335,0.37361115,0.26821098,0.35972223,0.24521737,0.05,3.9174981117248535,30.9,0.73333335,0.0068768563418416,16.253922603482522,0.4036294,0.003700102395292,43264
idqn,3,2000371,0.42051592,0.22392887,0.3848413,0.272349,0.05,3.928879737854004,30.85,0.80535716,0.007402668648865,16.34709454306789,0.31612185,0.0045627679873556,46413
idqn,3,2100376,0.3927778,0.25416794,0.36773813,0.2193725,0.05,3.675193071365357,33.05,0.76051587,0.0078420187055598,15.904323311603044,0.35129765,0.0045042897377639,49748
idqn,3,2200385,0.47163692,0.16482583,0.5183631,0.15373619,0.05,3.8476810455322266,19.95,0.98999995,0.0050492792011937,10.94292008560786,0.043588992,0.0029750875962047,53246
idqn,3,2300419,0.43460315,0.17121963,0.5112302,0.17813107,0.05,3.348172664642334,22.5,0.9458334,0.0049753769504604,10.851267207105352,0.17534688,0.0025069025944038,56835
idqn,3,2400459,0.37381944,0.18740702,0.43243057,0.20897508,0.05,3.3094372749328613,27.55,0.80625,0.0045814523095032,16.740594374155293,0.33131552,0.003859121848388,60680
idqn,3,2500465,0.34085318,0.2887493,0.3341468,0.2873769,0.05,2.9244489669799805,30.8,0.675,0.0053788896009791,14.479640879524604,0.45483512,0.0031546091462371,64466
